,"Gross domestic product 2012, PPP",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,(millions of,,,,,,,,,
,Ranking,,Economy,international dollars),,,,,,,,,
,,,,,,,,,,,,,
USA,1,,United States," 16,244,600 ",,,,,,,,,
CHN,2,,China," 14,802,942 ",,,,,,,,,
IND,3,,India," 6,354,588 ",,,,,,,,,
JPN,4,,Japan," 4,543,515 ",,,,,,,,,
DEU,5,,Germany," 3,434,191 ",,,,,,,,,
RUS,6,,Russian Federation," 3,385,844 ",,,,,,,,,
BRA,7,,Brazil," 2,890,563 ",,,,,,,,,
FRA,8,,France," 2,416,639 ",,,,,,,,,
GBR,9,,United Kingdom," 2,272,394 ",,,,,,,,,
IDN,10,,Indonesia," 2,224,501 ",,,,,,,,,
ITA,11,,Italy," 2,079,485 ",,,,,,,,,
MEX,12,,Mexico," 1,985,044 ",,,,,,,,,
ESP,13,,Spain," 1,502,643 ",,,,,,,,,
KOR,14,,"Korea, Rep."," 1,500,662 ",,,,,,,,,
SAU,15,,Saudi Arabia," 1,461,878 ",,,,,,,,,
CAN,16,,Canada," 1,435,271 ",,,,,,,,,
TUR,17,,Turkey," 1,372,744 ",,,,,,,,,
IRN,18,,"Iran, Islamic Rep."," 1,202,276 ",,,,,,,,,
AUS,19,,Australia," 995,639 ",,,,,,,,,
NGA,20,,Nigeria," 934,448 ",,,,,,,,,
THA,21,,Thailand," 923,210 ",,,,,,,,,
POL,22,,Poland," 877,947 ",,,,,,,,,
EGY,23,,"Egypt, Arab Rep."," 877,596 ",,,,,,,,,
PAK,24,,Pakistan," 794,858 ",,,,,,,,,
NLD,25,,Netherlands," 726,143 ",,,,,,,,,
MYS,26,,Malaysia," 651,470 ",,,,,,,,,
ZAF,27,,South Africa," 637,670 ",,,,,,,,,
PHL,28,,Philippines," 590,855 ",,,,,,,,,
COL,29,,Colombia," 567,281 ",,,,,,,,,
VEN,30,,"Venezuela, RB"," 537,713 ",,,,,,,,,
ARE,31,,United Arab Emirates," 534,313 ",,,,,,,,,
DZA,32,,Algeria," 500,337 ",,,,,,,,,
IRQ,33,,Iraq," 481,548 ",,,,,,,,,
BEL,34,,Belgium," 451,424 ",,,,,,,,,
VNM,35,,Vietnam," 443,705 ",,,,,,,,,
CHE,36,,Switzerland," 425,363 ",,,,,,,,,
SWE,37,,Sweden," 408,056 ",,,,,,,,,
UKR,38,,Ukraine," 386,540 ",,,,,,,,,
SGP,39,,Singapore," 386,341 ",,,,,,,,,
CHL,40,,Chile," 374,936 ",,,,,,,,,
BGD,41,,Bangladesh," 372,067 ",,,,,,,,,
AUT,42,,Austria," 371,948 ",,,,,,,,,
KAZ,43,,Kazakhstan," 367,424 ",,,,,,,,,
HKG,44,,"Hong Kong SAR, China"," 366,104 ",,,,,,,,,
ROM,45,,Romania," 362,653 ",,,,,,,,,
PER,46,,Peru," 354,019 ",,,,,,,,,
NOR,47,,Norway," 331,932 ",,,,,,,,,
CZE,48,,Czech Republic," 289,288 ",,,,,,,,,
GRC,49,,Greece," 288,864 ",,,,,,,,,
QAT,50,,Qatar," 282,199 ",,,,,,,,,
KWT,51,,Kuwait," 278,436 ",,,,,,,,,
PRT,52,,Portugal," 272,948 ",,,,,,,,,
ISR,53,,Israel," 247,952 ",,,,,,,,,
DNK,54,,Denmark," 239,181 ",,,,,,,,,
MAR,55,,Morocco," 231,435 ",a,,,,,,,,
HUN,56,,Hungary," 224,549 ",,,,,,,,,
FIN,57,,Finland," 212,221 ",,,,,,,,,
CUB,58,,Cuba," 211,947 ",,,,,,,,,
IRL,59,,Ireland," 201,061 ",,,,,,,,,
LKA,60,,Sri Lanka," 183,299 ",,,,,,,,,
BLR,61,,Belarus," 162,434 ",,,,,,,,,
ECU,62,,Ecuador," 156,056 ",,,,,,,,,
AGO,63,,Angola," 155,615 ",,,,,,,,,
AZE,64,,Azerbaijan," 150,276 ",,,,,,,,,
OMN,65,,Oman," 150,042 ",,,,,,,,,
NZL,66,,New Zealand," 145,964 ",,,,,,,,,
UZB,67,,Uzbekistan," 142,524 ",b,,,,,,,,
