time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-05-27T13:52:23.000Z,62.3884,-149.4381,47.5,1.1,ml,,,,0.4,ak,ak11274538,2014-05-27T14:03:08.376Z,"33km NE of Y, Alaska",earthquake
2014-05-27T13:45:41.000Z,63.5396,-153.4202,2.6,1.4,ml,,,,0.76,ak,ak11274495,2014-05-27T14:03:03.653Z,"127km ENE of McGrath, Alaska",earthquake
2014-05-27T13:24:49.100Z,38.7935,-122.8008,3.6,1,Md,21,79.2,0.00898315,0.02,nc,nc72227886,2014-05-27T13:40:04.690Z,"4km WNW of The Geysers, California",earthquake
2014-05-27T13:22:40.100Z,33.367,-116.3808,9.7,1.4,Ml,22,133.2,0.04491576,0.23,ci,ci15506001,2014-05-27T13:25:21.075Z,"12km N of Borrego Springs, California",earthquake
2014-05-27T13:15:30.790Z,44.7502,149.759,47.02,4.9,mb,,171,5.364,0.68,us,usb000r59a,2014-05-27T13:37:23.647Z,"157km ESE of Kuril'sk, Russia",earthquake
2014-05-27T13:04:06.000Z,61.836,-149.0447,34.5,1.8,ml,,,,0.89,ak,ak11274473,2014-05-27T13:17:28.359Z,"11km WNW of Sutton-Alpine, Alaska",earthquake
2014-05-27T12:57:42.000Z,63.0392,-150.7503,100,1.6,ml,,,,0.6,ak,ak11274469,2014-05-27T13:34:06.495Z,"86km NNW of Talkeetna, Alaska",earthquake
2014-05-27T12:52:14.680Z,34.1801667,-116.9225,12.12,1.06,ml,23,68,0.08194,0.25,ci,ci15505977,2014-05-27T12:56:17.360Z,"7km S of Big Bear Lake, California",earthquake
2014-05-27T12:40:37.890Z,2.7276,126.7496,63.41,5,mb,,109,2.038,1.12,us,usb000r57t,2014-05-27T12:57:36.317Z,"178km NW of Tobelo, Indonesia",earthquake
2014-05-27T12:27:20.000Z,60.6722,-147.4523,10.5,1.5,ml,,,,0.92,ak,ak11274425,2014-05-27T12:47:58.947Z,"68km E of Whittier, Alaska",earthquake
