"","Account_Length","Intl_Plan","D_VMail_Plan","VMail_Message","Day_Mins","Day_Calls","Eve_Mins","Eve_Calls","Night_Mins","Night_Calls","Intl_Mins","Intl_Calls","CustServ_Call","Churn","CustServ_Call2","Total_Min","Intl_Min_Prop","Day_Min_Prop","Night_Min_Prop","Intl_Plan2"
"1",128,"no",1,25,265.1,110,197.4,99,244.7,91,10,3,1,0,1,707.2,0.0141402715,0.3748585973,0.3460124434,0
"2",107,"no",1,26,161.6,123,195.5,103,254.4,103,13.7,3,1,0,1,611.5,0.0224039248,0.264268193,0.4160261652,0
"3",137,"no",0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,0,0,527.2,0.0231411229,0.4616843703,0.3084218513,0
"4",84,"yes",0,0,299.4,71,61.9,88,196.9,89,6.6,7,2,0,2,558.2,0.0118237191,0.5363668936,0.3527409531,1
"5",75,"yes",0,0,166.7,113,148.3,122,186.9,121,10.1,3,3,0,3,501.9,0.0201235306,0.3321378761,0.3723849372,1
"6",118,"yes",0,0,223.4,98,220.6,101,203.9,118,6.3,6,0,0,0,647.9,0.0097237228,0.3448062973,0.31470906,1
"7",121,"no",1,24,218.2,88,348.5,108,212.6,118,7.5,7,3,0,3,779.3,0.0096240216,0.2799948672,0.2728089311,0
"8",147,"yes",0,0,157,79,103.1,94,211.8,96,7.1,6,0,0,0,471.9,0.0150455605,0.3326976054,0.4488239034,1
"9",117,"no",0,0,184.5,97,351.6,80,215.8,90,8.7,4,1,0,1,751.9,0.0115706876,0.2453783748,0.2870062508,0
"10",141,"yes",1,37,258.6,84,222,111,326.4,97,11.2,5,0,0,0,807,0.0138785626,0.3204460967,0.4044609665,1
"11",65,"no",0,0,129.1,137,228.5,83,208.8,111,12.7,6,4,1,4,566.4,0.0224223164,0.227930791,0.3686440678,0
"12",74,"no",0,0,187.7,127,163.4,148,196,94,9.1,5,0,0,0,547.1,0.0166331566,0.3430817035,0.3582526046,0
"13",168,"no",0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,0,1,374.8,0.0298826041,0.3436499466,0.3764674493,0
"14",95,"no",0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,0,3,596.5,0.020620285,0.2625314334,0.3223805532,0
"15",62,"no",0,0,120.7,70,307.2,76,203,99,13.1,6,4,0,4,630.9,0.020763988,0.1913139959,0.3217625614,0
"16",161,"no",0,0,332.9,67,317.8,97,160.6,128,5.4,9,4,1,4,811.3,0.0066559842,0.4103291014,0.1979539011,0
"17",85,"no",1,27,196.4,139,280.9,90,89.3,75,13.8,4,1,0,1,566.6,0.0243558066,0.3466290152,0.1576067773,0
"18",93,"no",0,0,190.7,114,218.2,111,129.6,121,8.1,3,3,0,3,538.5,0.0150417827,0.3541318477,0.2406685237,0
"19",76,"no",1,33,189.7,66,212.8,65,165.7,108,10,5,1,0,1,568.2,0.0175994368,0.3338613164,0.2916226681,0
"20",73,"no",0,0,224.4,90,159.5,88,192.8,74,13,2,1,0,1,576.7,0.0225420496,0.389110456,0.3343159355,0
"21",147,"no",0,0,155.1,117,239.7,93,208.8,133,10.6,4,0,0,0,603.6,0.0175612989,0.2569582505,0.3459244533,0
"22",77,"no",0,0,62.4,89,169.9,121,209.6,64,5.7,6,5,1,5,441.9,0.0128988459,0.1412084182,0.474315456,0
"23",130,"no",0,0,183,112,72.9,99,181.8,78,9.5,19,0,0,0,437.7,0.0217043637,0.4180945853,0.4153529815,0
"24",111,"no",0,0,110.4,103,137.3,102,189.6,105,7.7,6,2,0,2,437.3,0.0176080494,0.2524582666,0.4335696318,0
"25",132,"no",0,0,81.1,86,245.2,72,237,115,10.3,2,0,0,0,563.3,0.0182851056,0.1439730162,0.4207349547,0
"26",174,"no",0,0,124.3,76,277.1,112,250.7,115,15.5,5,3,0,3,652.1,0.0237693605,0.1906149364,0.3844502377,0
"27",57,"no",1,39,213,115,191.1,112,182.7,115,9.5,3,0,0,0,586.8,0.0161895024,0.3629856851,0.3113496933,0
"28",54,"no",0,0,134.3,73,155.5,100,102.1,68,14.7,4,3,0,3,391.9,0.0375095688,0.3426894616,0.2605256443,0
"29",20,"no",0,0,190,109,258.2,84,181.5,102,6.3,6,0,0,0,629.7,0.0100047642,0.301730983,0.2882324917,0
"30",49,"no",0,0,119.3,117,215.1,109,178.7,90,11.1,1,1,0,1,513.1,0.0216332099,0.232508283,0.34827519,0
"31",142,"no",0,0,84.8,95,136.7,63,250.5,148,14.2,6,2,0,2,472,0.0300847458,0.1796610169,0.530720339,0
"32",75,"no",0,0,226.1,105,201.5,107,246.2,98,10.3,5,1,0,1,673.8,0.0152864351,0.3355595132,0.3653903235,0
"33",172,"no",0,0,212,121,31.2,115,293.3,78,12.6,10,3,0,3,536.5,0.0234855545,0.3951537745,0.5466915191,0
"34",12,"no",0,0,249.6,118,252.4,119,280.2,90,11.8,3,1,1,1,782.2,0.0150856558,0.3190999744,0.358220404,0
"35",57,"no",1,25,176.8,94,195,75,213.5,116,8.3,4,0,0,0,585.3,0.014180762,0.3020673159,0.3647702033,0
"36",72,"no",1,37,220,80,217.3,102,152.8,71,14.7,6,3,0,3,590.1,0.024911032,0.3728181664,0.2589391629,0
"37",36,"no",1,30,146.3,128,162.5,80,129.3,109,14.5,6,0,0,0,438.1,0.0330974663,0.3339420224,0.2951380963,0
"38",78,"no",0,0,130.8,64,223.7,116,227.8,108,10,5,1,0,1,582.3,0.0171732784,0.2246264812,0.3912072815,0
"39",136,"yes",1,33,203.9,106,187.6,99,101.7,107,10.5,6,3,0,3,493.2,0.0212895377,0.4134225466,0.2062043796,1
"40",149,"no",0,0,140.4,94,271.8,92,188.3,108,11.1,9,1,0,1,600.5,0.0184845962,0.2338051624,0.3135720233,0
"41",98,"no",0,0,126.3,102,166.8,85,187.8,135,9.4,2,3,0,3,480.9,0.0195466833,0.2626325639,0.3905177792,0
"42",135,"yes",1,41,173.1,85,203.9,107,122.2,78,14.6,15,0,1,0,499.2,0.0292467949,0.3467548077,0.2447916667,1
"43",34,"no",0,0,124.8,82,282.2,98,311.5,78,10,4,2,0,2,718.5,0.0139178845,0.1736951983,0.4335421016,0
"44",160,"no",0,0,85.8,77,165.3,110,178.5,92,9.2,4,3,0,3,429.6,0.02141527,0.1997206704,0.4155027933,0
