"","DyadType","FG1","FG2","FG3","FG4","FG5","FG6","BG1","BG2","BG3","BG4","BG5","C1","C2","C3","C4","C5","R1","R2","R3","R4","R5","CT1","CT2","CT3","CT4","CT5","CT6","S1","S2","S3","S4","S5","MODEL1","MODEL2","MODEL3","MODEL4","TRAIN1","TRAIN2","TRAIN4","GENDER","P_FG1","P_FG2","P_FG3","P_FG4","P_FG5","P_FG6","P_BG1","P_BG2","P_BG3","P_BG4","P_BG5","P_C1","P_C2","P_C3","P_C4","P_C5","P_R1","P_R2","P_R3","P_R4","P_R5","P_CT1","P_CT2","P_CT3","P_CT4","P_CT5","P_CT6","P_S1","P_S2","P_S3","P_S4","P_S5","GENDER2","child","parent","trainin"
"1","fd",4,4,4,3,5,2,3,6,5,5,4,4,2,4,4,4,6,6,4,4,5,2,1,1,1,1,1,6,2,3,4,3,4,4,3,3,4,4,3,2,7,7,7,7,7,7,7,7,7,7,7,5,1,5,5,5,7,7,7,7,7,1,1,1,1,1,1,6,7,7,7,6,1,3.53125,5,6.57142857142857
"4","fd",7,5,5,6,7,5,7,7,7,7,6,7,5,6,7,6,7,4,5,5,1,4,1,1,1,1,1,7,6,4,6,6,1,5,1,4,1,4,4,2,7,5,4,5,7,4,7,6,4,6,6,2,1,4,2,3,7,5,4,6,5,1,2,1,1,1,1,6,4,5,5,4,1,5,3.9375,4.42857142857143
"6","fs",5,4,3,4,4,3,5,5,5,5,5,4,1,5,4,4,6,5,5,5,5,4,4,3,3,4,7,7,7,4,7,6,6,7,1,7,7,7,2,1,6,6,7,7,7,6,7,7,7,7,5,5,2,7,4,6,7,6,7,5,6,4,4,4,4,4,5,7,7,7,7,6,1,4.625,5.46875,6.28571428571429
"8","md",6,6,3,3,6,1,1,1,1,1,2,1,1,1,1,1,6,5,2,5,4,1,1,1,1,1,1,7,3,3,3,2,1,1,1,4,1,1,1,2,6,3,4,5,6,3,6,6,6,7,4,4,1,5,3,5,5,3,3,5,2,1,2,2,2,2,2,6,5,1,4,6,2,2.5625,3.4375,4.71428571428571
"9","md",7,7,7,7,7,4,7,7,7,7,6,6,4,6,5,4,7,5,4,3,1,6,3,3,6,5,3,7,7,7,7,7,7,7,4,7,7,7,4,2,4,3,2,1,5,4,6,6,6,7,6,6,2,4,4,1,1,1,2,2,1,1,1,1,1,1,1,4,3,5,4,3,2,5.59375,3.625,5.14285714285714
"10","md",7,7,5,6,6,6,7,7,7,7,6,7,2,7,7,6,7,5,5,3,4,5,2,2,2,3,5,7,7,6,7,7,7,7,6,7,7,7,7,2,7,6,5,5,5,5,7,6,6,6,3,7,7,7,7,6,7,7,5,6,6,6,4,4,6,6,2,4,5,4,4,4,2,5.53125,5.90625,5
"12","md",5,5,3,3,3,3,3,5,3,4,5,3,2,4,2,2,5,3,3,3,3,3,5,3,3,5,4,5,3,3,3,3,1,2,2,2,1,1,1,2,1,1,1,1,1,1,7,7,2,7,7,4,1,4,2,1,7,7,1,1,4,1,1,1,1,1,1,7,1,7,1,1,2,3.5,2.59375,4.14285714285714
"13","ms",7,5,4,4,6,4,6,5,4,4,4,1,1,1,1,1,3,4,1,1,1,2,4,4,4,5,2,5,3,4,5,4,4,4,4,3,5,5,5,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,4,6,1,4,7,7,7,7,7,7,7,7,7,7,7,2,3.4375,5.71875,7
"14","ms",3,1,2,1,1,1,4,3,1,4,4,1,1,5,3,2,7,5,4,3,4,1,1,1,1,3,1,6,3,4,4,4,2,3,1,2,6,5,4,1,7,6,4,4,6,5,5,5,5,5,1,7,7,7,6,6,7,5,5,4,1,4,1,4,1,3,3,6,4,5,5,5,2,2.78125,4.375,4.57142857142857
"16","ms",6,5,4,5,6,3,7,6,5,6,4,2,1,2,1,2,5,3,3,5,3,4,2,1,4,5,5,6,3,4,5,3,2,5,2,6,2,5,3,1,7,6,6,4,6,6,7,7,6,6,7,3,1,3,2,1,7,5,4,4,4,1,1,1,1,1,1,6,6,4,6,6,2,3.9375,4.0625,5.42857142857143
