Web Search interest: grindr
United States; Past 12 months

Interest over time
Week,grindr
2013-06-30 - 2013-07-06,65
2013-07-07 - 2013-07-13,64
2013-07-14 - 2013-07-20,59
2013-07-21 - 2013-07-27,61
2013-07-28 - 2013-08-03,62
2013-08-04 - 2013-08-10,63
2013-08-11 - 2013-08-17,65
2013-08-18 - 2013-08-24,64
2013-08-25 - 2013-08-31,74
2013-09-01 - 2013-09-07,54
2013-09-08 - 2013-09-14,60
2013-09-15 - 2013-09-21,59
2013-09-22 - 2013-09-28,51
2013-09-29 - 2013-10-05,78
2013-10-06 - 2013-10-12,62
2013-10-13 - 2013-10-19,56
2013-10-20 - 2013-10-26,64
2013-10-27 - 2013-11-02,54
2013-11-03 - 2013-11-09,66
2013-11-10 - 2013-11-16,69
2013-11-17 - 2013-11-23,56
2013-11-24 - 2013-11-30,68
2013-12-01 - 2013-12-07,61
2013-12-08 - 2013-12-14,61
2013-12-15 - 2013-12-21,61
2013-12-22 - 2013-12-28,86
2013-12-29 - 2014-01-04,73
2014-01-05 - 2014-01-11,67
2014-01-12 - 2014-01-18,89
2014-01-19 - 2014-01-25,78
2014-01-26 - 2014-02-01,77
2014-02-02 - 2014-02-08,75
2014-02-09 - 2014-02-15,68
2014-02-16 - 2014-02-22,74
2014-02-23 - 2014-03-01,77
2014-03-02 - 2014-03-08,84
2014-03-09 - 2014-03-15,73
2014-03-16 - 2014-03-22,67
2014-03-23 - 2014-03-29,73
2014-03-30 - 2014-04-05,78
2014-04-06 - 2014-04-12,74
2014-04-13 - 2014-04-19,66
2014-04-20 - 2014-04-26,75
2014-04-27 - 2014-05-03,76
2014-05-04 - 2014-05-10,87
2014-05-11 - 2014-05-17,71
2014-05-18 - 2014-05-24,73
2014-05-25 - 2014-05-31,73
2014-06-01 - 2014-06-07,73
2014-06-08 - 2014-06-14,73
2014-06-15 - 2014-06-21,94
2014-06-22 - 2014-06-28,88
2014-06-29 - 2014-07-05,100


Top subregions for grindr
Subregion,grindr
District of Columbia,100
New York,94
California,84
Massachusetts,84
Hawaii,81
Florida,79
Louisiana,74
Nevada,72
Pennsylvania,71
New Mexico,71
Illinois,69
Arkansas,68
Virginia,67
Arizona,67
New Jersey,67
Connecticut,66
Texas,65
Oklahoma,64
Kentucky,64
Maryland,63
Washington,62
Georgia,60
Colorado,60
North Carolina,59
South Carolina,58
Tennessee,58
Mississippi,57
Michigan,57
Alabama,57
Minnesota,55
Utah,55
Kansas,54
Iowa,54
Ohio,54
Indiana,54
Missouri,51
Wisconsin,51
Oregon,36
Alaska,0
Delaware,0
Idaho,0
Maine,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
Rhode Island,0
South Dakota,0
Vermont,0
West Virginia,0
Wyoming,0


Top metros for grindr
Metro,grindr
New York NY,100
Los Angeles CA,98
Chicago IL,94
Boston MA-Manchester NH,92
San Francisco-Oakland-San Jose CA,82
Washington DC (Hagerstown MD),75
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Philadelphia PA,0
Detroit MI,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Atlanta GA,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Tampa-St. Petersburg (Sarasota) FL,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Minneapolis-St. Paul MN,0
Kansas City MO,0
Milwaukee WI,0
Houston TX,0
Springfield MO,0
New Orleans LA,0
Dallas-Ft. Worth TX,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Colorado Springs-Pueblo CO,0
Phoenix AZ,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
