Web Search interest: world cup
United States; Past 90 days

Interest over time
Day,world cup
2014-03-31,1
2014-04-01,1
2014-04-02,1
2014-04-03,1
2014-04-04,1
2014-04-05,1
2014-04-06,1
2014-04-07,1
2014-04-08,1
2014-04-09,1
2014-04-10,1
2014-04-11,1
2014-04-12,1
2014-04-13,1
2014-04-14,1
2014-04-15,1
2014-04-16,1
2014-04-17,1
2014-04-18,1
2014-04-19,1
2014-04-20,1
2014-04-21,1
2014-04-22,1
2014-04-23,1
2014-04-24,1
2014-04-25,1
2014-04-26,1
2014-04-27,1
2014-04-28,1
2014-04-29,1
2014-04-30,1
2014-05-01,1
2014-05-02,1
2014-05-03,1
2014-05-04,1
2014-05-05,1
2014-05-06,1
2014-05-07,1
2014-05-08,1
2014-05-09,1
2014-05-10,1
2014-05-11,2
2014-05-12,2
2014-05-13,2
2014-05-14,2
2014-05-15,2
2014-05-16,2
2014-05-17,2
2014-05-18,2
2014-05-19,2
2014-05-20,2
2014-05-21,2
2014-05-22,3
2014-05-23,3
2014-05-24,3
2014-05-25,3
2014-05-26,3
2014-05-27,3
2014-05-28,4
2014-05-29,4
2014-05-30,3
2014-05-31,4
2014-06-01,6
2014-06-02,5
2014-06-03,5
2014-06-04,6
2014-06-05,6
2014-06-06,6
2014-06-07,8
2014-06-08,8
2014-06-09,10
2014-06-10,12
2014-06-11,18
2014-06-12,66
2014-06-13,66
2014-06-14,69
2014-06-15,72
2014-06-16,72
2014-06-17,67
2014-06-18,59
2014-06-19,55
2014-06-20,57
2014-06-21,58
2014-06-22,82
2014-06-23,70
2014-06-24,54
2014-06-25,51
2014-06-26,100
2014-06-27,36
2014-06-28,56
2014-06-29, 
2014-06-30, 


Top subregions for world cup
Subregion,world cup
California,100
New York,91
New Jersey,86
District of Columbia,71
Florida,69
Massachusetts,69
Virginia,69
Maryland,66
Texas,64
Washington,63
Colorado,58
Illinois,56
Utah,56
Connecticut,56
Georgia,54
Nevada,54
Vermont,53
Delaware,52
Oregon,50
Arizona,50
Rhode Island,49
Missouri,48
Pennsylvania,48
New Mexico,48
South Carolina,47
Michigan,45
Minnesota,44
Ohio,44
North Carolina,43
New Hampshire,43
Idaho,41
Hawaii,41
Nebraska,41
Wyoming,39
Kansas,38
Wisconsin,38
Maine,37
Iowa,36
Louisiana,36
Montana,36
Alaska,36
Tennessee,35
Indiana,33
Alabama,32
South Dakota,32
Oklahoma,32
North Dakota,31
Kentucky,30
Arkansas,28
Mississippi,26
West Virginia,23


Top metros for world cup
Metro,world cup
Los Angeles CA,100
New York NY,86
