"","id","total_bill","tip","sex","smoker","day","time","size","bigTip","hugeTip"
"1",1,16.99,1.78,"Female","No","Sun","Dinner",2,"small","regular"
"2",2,10.34,5.01,"Male","No","Sun","Dinner",3,"big","regular"
"3",3,21.01,4.2,"Male","No","Sun","Dinner",3,"small","regular"
"4",4,23.68,5.15,"Male","No","Sun","Dinner",2,"big","regular"
"5",5,24.59,6.46,"Female","No","Sun","Dinner",4,"big","regular"
"6",6,25.29,8.3,"Male","No","Sun","Dinner",4,"big","huge"
"7",7,8.77,4.67,"Male","No","Sun","Dinner",2,"small","regular"
"8",8,26.88,5.87,"Male","No","Sun","Dinner",4,"big","regular"
"9",9,15.04,6.34,"Male","No","Sun","Dinner",2,"big","regular"
"10",10,14.78,4.78,"Male","No","Sun","Dinner",2,"small","regular"
"11",11,10.27,3.62,"Male","No","Sun","Dinner",2,"small","regular"
"12",12,35.26,6.2,"Female","No","Sun","Dinner",4,"big","regular"
"13",13,15.42,5.78,"Male","No","Sun","Dinner",2,"big","regular"
"14",14,18.43,6.26,"Male","No","Sun","Dinner",4,"big","regular"
"15",15,14.83,4.35,"Female","No","Sun","Dinner",2,"small","regular"
"16",16,21.58,7.16,"Male","No","Sun","Dinner",2,"big","regular"
"17",17,10.33,2.44,"Female","No","Sun","Dinner",3,"small","regular"
"18",18,16.29,5.23,"Male","No","Sun","Dinner",3,"big","regular"
"19",19,16.97,5.57,"Female","No","Sun","Dinner",3,"big","regular"
"20",20,20.65,5.24,"Male","No","Sat","Dinner",3,"big","regular"
"21",21,17.92,8.02,"Male","No","Sat","Dinner",2,"big","huge"
"22",22,20.29,6.05,"Female","No","Sat","Dinner",2,"big","regular"
"23",23,15.77,3.33,"Female","No","Sat","Dinner",2,"small","regular"
"24",24,39.42,8.68,"Male","No","Sat","Dinner",4,"big","huge"
"25",25,19.82,3.27,"Male","No","Sat","Dinner",2,"small","regular"
"26",26,17.81,4.31,"Male","No","Sat","Dinner",4,"small","regular"
"27",27,13.37,5.11,"Male","No","Sat","Dinner",2,"big","regular"
"28",28,12.69,1.91,"Male","No","Sat","Dinner",2,"small","regular"
"29",29,21.7,7.44,"Male","No","Sat","Dinner",2,"big","huge"
"30",30,19.65,6.14,"Female","No","Sat","Dinner",2,"big","regular"
"31",31,9.55,3.47,"Male","No","Sat","Dinner",2,"small","regular"
"32",32,18.35,5.83,"Male","No","Sat","Dinner",4,"big","regular"
"33",33,15.06,3.9,"Female","No","Sat","Dinner",2,"small","regular"
"34",34,20.69,4.43,"Female","No","Sat","Dinner",4,"small","regular"
"35",35,17.78,7.35,"Male","No","Sat","Dinner",2,"big","huge"
"36",36,24.06,3.8,"Male","No","Sat","Dinner",3,"small","regular"
"37",37,16.31,2.58,"Male","No","Sat","Dinner",3,"small","regular"
